Tanggal;Hari;Imsak;Subuh;Terbit;Dhuha;Dzuhur;Ashar;Maghrib;Isya
23/03/2023;Kamis, 23/03/2023;04:19;04:29;05:40;06:08;11:50;14:54;17:53;19:01
24/03/2023;Jumat, 24/03/2023;04:19;04:29;05:40;06:07;11:50;14:55;17:53;19:01
25/03/2023;Sabtu, 25/03/2023;04:19;04:29;05:40;06:07;11:50;14:55;17:52;19:00
26/03/2023;Minggu, 26/03/2023;04:19;04:29;05:40;06:07;11:49;14:55;17:52;19:00
27/03/2023;Senin, 27/03/2023;04:18;04:28;05:39;06:07;11:49;14:56;17:52;19:00
28/03/2023;Selasa, 28/03/2023;04:18;04:28;05:39;06:06;11:49;14:56;17:51;18:59
29/03/2023;Rabu, 29/03/2023;04:18;04:28;05:39;06:06;11:49;14:56;17:51;18:59
30/03/2023;Kamis, 30/03/2023;04:18;04:28;05:39;06:06;11:48;14:56;17:51;18:59
31/03/2023;Jumat, 31/03/2023;04:17;04:27;05:38;06:06;11:48;14:57;17:50;18:59
01/04/2023;Sabtu, 01/04/2023;04:17;04:27;05:38;06:05;11:48;14:57;17:50;18:58
02/04/2023;Minggu, 02/04/2023;04:17;04:27;05:38;06:05;11:47;14:57;17:50;18:58
03/04/2023;Senin, 03/04/2023;04:16;04:26;05:38;06:05;11:47;14:57;17:49;18:58
04/04/2023;Selasa, 04/04/2023;04:16;04:26;05:37;06:05;11:47;14:57;17:49;18:57
05/04/2023;Rabu, 05/04/2023;04:16;04:26;05:37;06:04;11:46;14:58;17:49;18:57
06/04/2023;Kamis, 06/04/2023;04:16;04:26;05:37;06:04;11:46;14:58;17:48;18:57
07/04/2023;Jumat, 07/04/2023;04:15;04:25;05:37;06:04;11:46;14:58;17:48;18:56
08/04/2023;Sabtu, 08/04/2023;04:15;04:25;05:37;06:04;11:46;14:58;17:48;18:56
09/04/2023;Minggu, 09/04/2023;04:15;04:25;05:36;06:03;11:45;14:58;17:47;18:56
10/04/2023;Senin, 10/04/2023;04:14;04:24;05:36;06:03;11:45;14:59;17:47;18:56
11/04/2023;Selasa, 11/04/2023;04:14;04:24;05:36;06:03;11:45;14:59;17:47;18:55
12/04/2023;Rabu, 12/04/2023;04:14;04:24;05:36;06:03;11:45;14:59;17:46;18:55
13/04/2023;Kamis, 13/04/2023;04:14;04:24;05:35;06:03;11:44;14:59;17:46;18:55
14/04/2023;Jumat, 14/04/2023;04:13;04:23;05:35;06:03;11:44;14:59;17:46;18:55
15/04/2023;Sabtu, 15/04/2023;04:13;04:23;05:35;06:02;11:44;14:59;17:45;18:54
16/04/2023;Minggu, 16/04/2023;04:13;04:23;05:35;06:02;11:44;14:59;17:45;18:54
17/04/2023;Senin, 17/04/2023;04:12;04:22;05:35;06:02;11:43;14:59;17:45;18:54
18/04/2023;Selasa, 18/04/2023;04:12;04:22;05:34;06:02;11:43;14:59;17:45;18:54
19/04/2023;Rabu, 19/04/2023;04:12;04:22;05:34;06:02;11:43;15:00;17:44;18:54
20/04/2023;Kamis, 20/04/2023;04:12;04:22;05:34;06:02;11:43;15:00;17:44;18:54
21/04/2023;Jumat, 21/04/2023;04:11;04:21;05:34;06:01;11:42;15:00;17:44;18:53
